#{"t_start": 1763052443.3852305, "env_id": "GridWorld-v3"}
r,l,t
-17.5,100,38.835015
-50.5,100,39.251807
-21.5,100,39.410498
-33.5,100,39.562671
-67.0,100,39.715839
10.5,95,39.807123
-34.0,100,39.981717
-28.5,100,40.137498
-99.5,100,40.324848
-75.0,100,40.503674
14.0,42,40.541699
-23.0,100,40.701247
43.0,100,40.794567
-28.5,100,40.980793
-1.5,19,41.00033
87.5,28,41.097172
-78.0,100,41.184276
-76.0,100,41.344552
-99.0,100,41.516162
-56.0,100,41.680259
-81.5,100,41.772428
10.5,17,41.857483
-77.5,100,41.953217
16.0,6,41.959484
-23.0,100,42.109004
-105.0,100,42.272986
-94.5,100,42.46065
-115.0,100,42.671611
-56.0,100,42.768757
-72.5,100,42.941313
-17.5,100,43.096932
-25.0,58,43.149813
-61.5,100,43.317388
-23.0,100,43.474123
-83.5,100,43.623807
-77.5,100,43.741996
-65.0,100,43.915478
-12.0,100,44.09194
-23.0,100,44.271771
32.0,100,44.45967
-67.0,100,44.55953
54.0,100,44.7187
-100.0,100,44.900038
-50.0,100,45.0997
-100.0,100,45.270024
-98.0,100,45.356525
-1.0,100,45.505773
-23.0,100,45.661337
257.5,100,45.817564
21.0,100,45.905754
-89.0,100,46.080193
-78.0,100,46.250798
-9.0,53,46.298659
-83.5,100,46.476823
28.0,100,46.668746
-12.0,100,46.838764
-45.0,100,47.015973
22.5,82,47.105679
-98.5,100,47.276323
-83.5,100,47.449889
-83.0,100,47.54438
153.0,100,47.725088
-100.0,100,47.921295
-23.0,100,48.10555
-56.0,100,48.27932
-61.5,100,48.371255
-100.0,100,48.55878
-83.5,100,48.745882
-89.0,100,48.900749
-83.5,100,49.057577
-28.5,100,49.150792
-6.5,100,49.339229
14.5,8,49.347756
-5.0,45,49.463251
-89.0,100,49.547951
-78.0,100,49.706967
29.5,37,49.736938
14.0,20,49.838075
-100.0,100,49.946051
82.5,77,50.085536
-100.0,100,50.251927
-31.5,43,50.287723
55.0,100,50.44399
-9.5,54,50.488014
4.0,62,50.608379
-100.0,100,50.694047
-55.0,100,50.878723
-60.0,100,51.02787
8.5,19,51.045177
-12.0,100,51.206136
37.5,100,51.392599
17.0,33,51.417443
18.5,9,51.426554
-78.0,100,51.58892
14.0,38,51.624444
-100.0,100,51.799937
65.0,100,51.967989
-50.5,100,52.144193
54.0,100,52.235185
17.0,38,52.350557
-45.0,100,52.467951
-44.5,100,52.719734
-45.0,100,52.907879
15.5,12,52.918205
-6.5,100,53.121793
-28.5,97,53.290704
-20.0,21,53.311645
32.5,100,53.488895
-99.0,100,53.591547
-72.5,100,53.764841
15.5,100,53.930307
17.0,67,53.989851
-78.0,100,54.148617
25.0,51,54.271265
-28.5,100,54.355439
-27.5,100,54.535045
-56.0,100,54.695559
-28.5,100,54.853191
70.0,29,54.884459
59.5,100,55.074564
-78.0,100,55.166368
2.5,64,55.287525
-17.5,100,55.465326
-9.0,37,55.498206
-22.5,58,55.547428
-100.0,100,55.70742
-134.5,100,55.879098
73.0,100,56.041965
-76.5,100,56.201663
31.5,18,56.218952
21.5,17,56.232001
-56.0,100,56.388497
-39.5,100,56.476916
-11.0,89,56.62376
-50.5,100,56.792305
-12.5,24,56.810497
45.0,100,56.976233
81.5,100,57.13623
-78.0,100,57.220804
-78.0,100,57.384866
-12.0,100,57.546154
-12.0,100,57.707745
-9.5,38,57.741591
-44.0,100,57.899487
-12.0,56,57.941476
99.0,61,58.058169
21.0,100,58.203385
18.5,9,58.211936
4.5,100,58.297946
-13.5,59,58.417414
23.0,32,58.449649
-83.5,100,58.621042
58.5,30,58.654409
5.5,94,58.810861
-39.5,100,58.967667
-188.0,100,59.067779
-12.0,100,59.238557
-1.0,100,59.407249
-45.0,100,59.578836
-50.5,100,59.735501
7.0,32,59.769764
-36.5,53,59.815936
69.0,66,59.932874
13.0,26,59.954472
1.5,15,59.966037
37.5,100,60.116265
-8.5,25,60.139177
49.5,77,60.269712
-93.5,100,60.353373
-2.0,85,60.49018
73.0,87,60.637543
49.0,100,60.808728
-28.5,100,60.888054
109.0,100,61.05969
-133.0,100,61.255702
21.0,100,61.421057
21.0,100,61.507874
14.5,74,61.666637
0.0,100,61.841702
-100.0,100,62.016783
12.0,10,62.025522
6.0,6,62.031534
56.5,54,62.073337
-50.5,100,62.236169
-94.5,100,62.477354
-72.5,100,62.629856
-87.0,100,62.823966
-38.0,100,63.026252
-1.0,100,63.215946
-27.0,39,63.259426
-83.5,100,63.445627
-23.0,100,63.619861
15.5,100,63.724683
12.0,10,63.826715
-16.5,100,63.919747
-44.0,100,64.104017
-12.0,100,64.288026
37.5,100,64.576427
139.0,87,64.692349
-4.5,32,64.825642
67.0,60,64.897028
3.5,14,64.913374
62.0,100,65.103595
59.5,100,65.260343
-56.0,100,65.427115
37.5,100,65.510461
-67.0,100,65.662971
16.0,6,65.668215
-18.0,48,65.771589
-54.0,100,65.87552
1.5,10,65.88725
-1.5,8,65.896506
21.5,50,66.016074
-11.0,39,66.046758
57.0,31,66.07264
-45.0,100,66.219368
17.0,18,66.23876
-53.5,100,66.390912
7.0,100,66.544996
-200.0,85,66.679857
-37.5,55,66.725226
-20.5,100,66.878383
33.5,16,66.892754
17.5,100,67.053607
33.5,60,67.10292
-37.0,100,67.262909
43.5,100,67.417229
109.0,100,67.514963
16.5,100,67.665443
32.0,35,67.758418
-3.5,33,67.78873
10.0,100,67.990193
1.5,83,68.072808
-34.5,32,68.105579
21.0,100,68.272734
-39.5,100,68.467364
-4.0,32,68.494557
-17.5,100,68.644676
26.5,100,68.814013
-6.5,100,68.976929
-8.5,31,69.005394
-21.5,78,69.069717
33.0,18,69.157527
-2.0,21,69.175074
49.0,39,69.206664
18.5,20,69.222227
-22.0,100,69.368535
76.0,100,69.530225
9.0,13,69.542784
11.0,6,69.547937
19.5,30,69.574353
59.5,65,69.699517
-39.5,100,69.776198
31.0,46,69.891048
70.5,100,70.071475
21.0,94,70.153418
10.0,100,70.309731
